Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2021-12-13,"Pretty in Pink",5.12a,"Fell on last couple moves",https://www.mountainproject.com/route/106693398/pretty-in-pink,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Pink Wall",3.5,4,Lead,Fell/Hung,Sport,,80,6600
2021-12-13,B-Line,5.10a,,https://www.mountainproject.com/route/105825792/b-line,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Left Flank",2.3,2,Lead,Onsight,Sport,,90,2600
2021-12-13,"Cloud 9",5.10c,,https://www.mountainproject.com/route/106119085/cloud-9,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Pink Wall",2.4,3,Lead,Onsight,Sport,,100,3200
2021-12-10,"Ryane's Revenge",5.10a,,https://www.mountainproject.com/route/105918806/ryanes-revenge,1,"California > High Desert > Barstow Area > New Jack City > Box Canyon East > Hueco Wall",2.1,-1,Lead,Onsight,Sport,,35,2600
2021-12-10,"Room For Improvement",5.10d,,https://www.mountainproject.com/route/105919396/room-for-improvement,1,"California > High Desert > Barstow Area > New Jack City > Box Canyon East > Hueco Wall",2.6,-1,Lead,Onsight,Sport,,45,3500
2021-12-10,"Gun For Hire",5.11a/b,,https://www.mountainproject.com/route/105900166/gun-for-hire,1,"California > High Desert > Barstow Area > New Jack City > Box Canyon East > Hueco Wall",3.0,3,Lead,Onsight,Sport,5.11b,50,4800
2021-12-10,"Technically Inept",5.10a,,https://www.mountainproject.com/route/111683200/technically-inept,1,"California > High Desert > Barstow Area > New Jack City > The Land That Time Forgot > Hidden Valley > North Wall",2.8,3,Lead,Onsight,Sport,,55,2600
2021-12-10,"Cool To Be You",5.12-,,https://www.mountainproject.com/route/111683188/cool-to-be-you,1,"California > High Desert > Barstow Area > New Jack City > The Land That Time Forgot > Hidden Valley > North Wall",3.0,3,Lead,Onsight,Sport,,50,6700
2021-12-10,"Red Tape",5.10c,,https://www.mountainproject.com/route/111683196/red-tape,1,"California > High Desert > Barstow Area > New Jack City > The Land That Time Forgot > Hidden Valley > North Wall",2.5,2,Lead,Onsight,Sport,,55,3200
2021-12-10,"Stop Staring At My Ass",5.11b/c,,https://www.mountainproject.com/route/111683193/stop-staring-at-my-ass,1,"California > High Desert > Barstow Area > New Jack City > The Land That Time Forgot > Hidden Valley > North Wall",2.4,3,Lead,Onsight,Sport,,55,5100
